2025-04-04 02:05:59 status unpacked libselinux1:arm64 3.0-1build2
2025-04-04 02:05:59 install libsemanage-common:all <none> 3.0-1build2
2025-04-04 02:05:59 status half-installed libsemanage-common:all 3.0-1build2
2025-04-04 02:05:59 status unpacked libsemanage-common:all 3.0-1build2
2025-04-04 02:05:59 install libsemanage1:arm64 <none> 3.0-1build2
2025-04-04 02:05:59 status half-installed libsemanage1:arm64 3.0-1build2
2025-04-04 02:05:59 status unpacked libsemanage1:arm64 3.0-1build2
2025-04-04 02:05:59 install libsepol1:arm64 <none> 3.0-1
2025-04-04 02:05:59 status half-installed libsepol1:arm64 3.0-1
2025-04-04 02:05:59 status unpacked libsepol1:arm64 3.0-1
2025-04-04 02:05:59 install libsmartcols1:arm64 <none> 2.34-0.1ubuntu9
2025-04-04 02:05:59 status half-installed libsmartcols1:arm64 2.34-0.1ubuntu9
2025-04-04 02:05:59 status unpacked libsmartcols1:arm64 2.34-0.1ubuntu9
2025-04-04 02:05:59 install libss2:arm64 <none> 1.45.5-2ubuntu1
2025-04-04 02:05:59 status half-installed libss2:arm64 1.45.5-2ubuntu1
2025-04-04 02:05:59 status unpacked libss2:arm64 1.45.5-2ubuntu1
2025-04-04 02:05:59 install libsystemd0:arm64 <none> 245.4-4ubuntu3
2025-04-04 02:05:59 status half-installed libsystemd0:arm64 245.4-4ubuntu3
2025-04-04 02:05:59 status unpacked libsystemd0:arm64 245.4-4ubuntu3
2025-04-04 02:05:59 install libtinfo6:arm64 <none> 6.2-0ubuntu2
2025-04-04 02:05:59 status half-installed libtinfo6:arm64 6.2-0ubuntu2
2025-04-04 02:05:59 status unpacked libtinfo6:arm64 6.2-0ubuntu2
2025-04-04 02:05:59 install libudev1:arm64 <none> 245.4-4ubuntu3
2025-04-04 02:05:59 status half-installed libudev1:arm64 245.4-4ubuntu3
2025-04-04 02:05:59 status unpacked libudev1:arm64 245.4-4ubuntu3
2025-04-04 02:05:59 install libuuid1:arm64 <none> 2.34-0.1ubuntu9
2025-04-04 02:05:59 status half-installed libuuid1:arm64 2.34-0.1ubuntu9
2025-04-04 02:05:59 status unpacked libuuid1:arm64 2.34-0.1ubuntu9
2025-04-04 02:05:59 install libzstd1:arm64 <none> 1.4.4+dfsg-3
2025-04-04 02:05:59 status half-installed libzstd1:arm64 1.4.4+dfsg-3
2025-04-04 02:05:59 status unpacked libzstd1:arm64 1.4.4+dfsg-3
2025-04-04 02:05:59 install login:arm64 <none> 1:4.8.1-1ubuntu5
2025-04-04 02:05:59 status half-installed login:arm64 1:4.8.1-1ubuntu5
2025-04-04 02:05:59 status unpacked login:arm64 1:4.8.1-1ubuntu5
2025-04-04 02:05:59 install logsave:arm64 <none> 1.45.5-2ubuntu1
2025-04-04 02:05:59 status half-installed logsave:arm64 1.45.5-2ubuntu1
2025-04-04 02:05:59 status unpacked logsave:arm64 1.45.5-2ubuntu1
2025-04-04 02:05:59 install lsb-base:all <none> 11.1.0ubuntu2
2025-04-04 02:05:59 status half-installed lsb-base:all 11.1.0ubuntu2
2025-04-04 02:05:59 status unpacked lsb-base:all 11.1.0ubuntu2
2025-04-04 02:05:59 upgrade mawk:arm64 1.3.4.20200120-2 1.3.4.20200120-2
2025-04-04 02:05:59 status half-configured mawk:arm64 1.3.4.20200120-2
2025-04-04 02:05:59 status unpacked mawk:arm64 1.3.4.20200120-2
2025-04-04 02:05:59 status half-installed mawk:arm64 1.3.4.20200120-2
